gap_type,keyword,keyword_display,cluster,cluster_label,score,frequency,n_articles,citations,rationale,article_titles,article_dois,metric_distance_from_subcentroid,metric_distance_zscore,metric_centrality,metric_tfidf,metric_global_frequency,metric_similarity,metric_frequency_1,metric_frequency_2,metric_mean_tfidf,metric_frequency_other_clusters,metric_presence_ratio
Cross-Cluster Concept,bank fintech,Bank FinTech,5,Financial technology & Sub-Saharan Africa,0.4979370700342781,2,2,424.0,"absent from cluster 5, present in 2 record(s) elsewhere (4.0% of corpus), tfidf=0.0071",Does bank FinTech reduce credit risk? Evidence from China | Bank FinTech and credit risk: comparison of selected emerging and developed countries,10.1016/j.pacfin.2020.101398 | 10.1108/SEF-12-2023-0714,,,,0.0071395503834397476,,,,,,2.0,0.04
Emerging Concept,south asia,South Asia,3,Panel data & Alternative information,0.7700000345845694,1,1,7.0,"frequency=1 in cluster, 1 in corpus, z=1.79, tfidf=0.0037",Financial inclusion based on financial technology and risky behaviour of micro-finance institutes: evidence from South Asian micro-finance banks,10.1108/DPRG-12-2022-0149,0.5212219373641441,1.7890042788239158,0.6239581577926591,0.0036556225742735106,1.0,,,,,,
Emerging Concept,soft information,Soft information,2,Credit risk & Financial technology,0.7446672439035917,1,1,4.0,"frequency=1 in cluster, 1 in corpus, z=2.22, tfidf=0.0033",Bridging the gap? A theoretical analysis of the net effect of FinTech entry on access to credit,10.1016/j.frl.2024.105918,0.552898914292175,2.218196276542958,0.5852382263997589,0.003311283190538142,1.0,,,,,,
Emerging Concept,regulatory resources,Regulatory resources,1,Financial technology & financial innovation,0.7162890749999427,1,1,4.0,"frequency=1 in cluster, 1 in corpus, z=1.85, tfidf=0.0038",How Does Fintech Affect the Development of the Digital Economy? Evidence from India,10.1007/s13132-024-02547-y,0.4588934313631362,1.8502590489609776,0.5085676388929534,0.0037652643216191228,1.0,,,,,,
Emerging Concept,debt trap,Debt trap,0,Credit risk & Digitalization,0.7055597185654363,1,1,391.0,"frequency=1 in cluster, 1 in corpus, z=1.04, tfidf=0.0036",The rise of digital finance: Financial inclusion or debt trap?,10.1016/j.frl.2021.102604,0.27854365709099616,1.038449517511149,0.5076362885186358,0.0035500266524496117,1.0,,,,,,
Emerging Concept,sub-saharan africa,Sub-Saharan Africa,2,Credit risk & Financial technology,0.7,1,1,5.0,"frequency=1 in cluster, 3 in corpus, z=2.27, tfidf=0.0075",Upstarts vs incumbents: the interaction between fintech credit and bank lending in Sub-Saharan Africa,10.1080/23322039.2024.2375643,0.5581178530369838,2.267854053430929,0.6771015424689225,0.007462909655834451,3.0,,,,,,
Emerging Concept,alternative data,Alternative data,2,Credit risk & Financial technology,0.6943181050235157,1,1,15.0,"frequency=1 in cluster, 1 in corpus, z=0.34, tfidf=0.0061",The role of bank–FinTech partnerships in creating a more inclusive banking system,10.21799/frbp.wp.2023.21,0.35541678234871177,0.3391698830709926,0.39195943429637425,0.006142353223099689,1.0,,,,,,
Emerging Concept,risk-taking behavior,Risk-taking behavior,5,Financial technology & Sub-Saharan Africa,0.6822459914777559,1,1,143.0,"frequency=1 in cluster, 1 in corpus, z=2.05, tfidf=0.0030",Fintech-based Financial Inclusion and Risk-taking of Microfinance Institutions (MFIs): Evidence from Sub-Saharan Africa,10.1016/j.frl.2021.102149,0.4160403358280311,2.048529493785347,0.5828420140215937,0.002986214801511959,1.0,,,,,,
Emerging Concept,artificial intelligence,Artificial Intelligence,1,Financial technology & financial innovation,0.6661038066192673,1,1,7.0,"frequency=1 in cluster, 1 in corpus, z=0.66, tfidf=0.0041",DOES FINTECH AFFECT FINANCIAL INCLUSION IN BALKAN REGION COUNTRIES?,10.22495/jgrv13i1siart12,0.3501876271531672,0.6596497095801059,0.5476971165331981,0.00410476384656232,1.0,,,,,,
Emerging Concept,disadvantaged communities,Disadvantaged Communities,1,Financial technology & financial innovation,0.6630721459130551,1,1,19.0,"frequency=1 in cluster, 1 in corpus, z=0.29, tfidf=0.0055",THE ROLE OF FINANCIAL TECHNOLOGY IN ENHANCING FINANCIAL INCLUSION: A REGULATORY PERSPECTIVE ON CURRENT INDUSTRY TRENDS,10.22495/cbsrv6i1art4,0.31602841051023367,0.28551805528080904,0.4808629481045412,0.00549680360723168,1.0,,,,,,
Emerging Concept,banks’ risk-taking,Banks’ risk-taking,5,Financial technology & Sub-Saharan Africa,0.6598008172085355,1,1,195.0,"frequency=1 in cluster, 1 in corpus, z=-1.16, tfidf=0.0282",Fintech-based financial inclusion and bank risk-taking: Evidence from OIC countries,10.1016/j.intfin.2021.101447,0.1598415970482152,-1.155809275001417,0.3830864484297354,0.028187112218157142,1.0,,,,,,
Emerging Concept,bank concentration,Bank concentration,3,Panel data & Alternative information,0.6575478011809395,1,1,19.0,"frequency=1 in cluster, 1 in corpus, z=1.21, tfidf=0.0037",Does digital financial inclusion moderate or exacerbate output volatility?,10.1080/13504851.2021.1963400,0.4584609624946814,1.2061846420755749,0.505308339304069,0.0036878431466645413,1.0,,,,,,
Emerging Concept,black swan,Black swan,5,Financial technology & Sub-Saharan Africa,0.6374958055320006,1,1,51.0,"frequency=1 in cluster, 1 in corpus, z=1.21, tfidf=0.0020",Has financial inclusion made the financial sector riskier?,10.1108/JFRC-08-2020-0074,0.34919095637331976,1.2124283510698664,0.6635805922073728,0.0020072232246325468,1.0,,,,,,
Emerging Concept,output volatility,Output volatility,3,Panel data & Alternative information,0.632986075391512,1,1,19.0,"frequency=1 in cluster, 1 in corpus, z=0.67, tfidf=0.0037",Does digital financial inclusion moderate or exacerbate output volatility?,10.1080/13504851.2021.1963400,0.40065831754100056,0.6694097337019128,0.5322524413975456,0.0036878431466645413,1.0,,,,,,
Emerging Concept,big tech,Big tech,4,Income inequality & Big tech,0.55,1,1,44.0,"frequency=1 in cluster, 1 in corpus, z=1.00, tfidf=0.0040","Fintech credit, big tech credit and income inequality",10.1016/j.frl.2022.103387,0.3804038906307352,1.0,0.43213196453286995,0.003958597369323497,1.0,,,,,,
Emerging Concept,credit risk,Credit risk,0,Credit risk & Digitalization,0.5410662758628697,1,1,10.0,"frequency=1 in cluster, 6 in corpus, z=-0.02, tfidf=0.0216",The impact of digitalization on credit risk: the mediating role of financial inclusion (National Bank of Egypt (NBE) case study),10.1080/1331677X.2023.2178018,0.21599976988330716,-0.021651381631445282,0.4261859866156499,0.021568249255308113,6.0,,,,,,
Emerging Concept,digital lending,Digital lending,0,Credit risk & Digitalization,0.5059078686803615,1,1,391.0,"frequency=1 in cluster, 2 in corpus, z=0.59, tfidf=0.0068",The rise of digital finance: Financial inclusion or debt trap?,10.1016/j.frl.2021.102604,0.25196845407159163,0.5880074699579506,0.2993909863575299,0.006790361222391098,2.0,,,,,,
