gap_type,keyword,n_runs_found,n_seeds_found,n_sizes_found,mean_score,min_score,max_score,mean_frequency,cluster_labels,support
Emerging Concept,digital innovation,8,5,2,0.47871194548811424,0.44999999999999996,0.5544848295513919,1.0,Digital innovation & family business | Family firms & digital innovation | SMEs & Family firms | SMEs & digital innovation,0.4
Emerging Concept,r&d intensity,7,5,2,0.7522350564310795,0.6219018366036266,0.9052033530791068,1.0,Dynamic capabilities & Absorptive capacity | Dynamic capabilities & Dynamic capability | Dynamic capabilities & Firm performance | ESG performance & Firm performance | ESG performance & Technological innovation | Firm performance & Dynamic capabilities,0.35
Emerging Concept,social media,7,4,3,0.6784852735488325,0.590754311328521,0.7621536496046093,1.0,Digital capabilities & Dynamic capabilities | Digital maturity & Innovation | Digitalization & Innovation | Digitalization & Organizational resilience | Dynamic managerial capabilities & Innovation | SMEs & Innovation,0.35
Conceptual Combination,dynamic capabilities x human capital,7,4,3,0.6701063539855596,0.5723404209802074,0.6923404209802075,13.857142857142858,Digitalization & Firm performance | Dynamic capabilities & Firm performance | Dynamic capability & Case study | Dynamic capability & Firm performance | Dynamic capability & competitive advantage | Firm performance & Dynamic capability,0.35
Emerging Concept,freight transportation,7,5,2,0.6577065463461313,0.55,0.7075652872768166,1.0,Digitalization & Digital innovation management | Digitalization & Firm performance | Dynamic capabilities & Digitalization | Firm performance & Dynamic capability | Industry 4.0 & Firm performance,0.35
Emerging Concept,relational collaboration,7,5,2,0.6549236772361813,0.5223633251619286,0.7,1.0,Digital culture & Digital leadership | Digital maturity & Innovation performance | Digital maturity & competitive advantage | Enterprise Dynamic Capabilities & “Business Model Innovation”,0.35
Conceptual Combination,digital transformation x digital capabilities,7,4,3,0.6360982866068079,0.4884042895005224,0.6684042895005224,12.0,Digital capabilities & Dynamic capability | Digital culture & Dynamic capability | Digital transformation (DT) & Dynamic capability | Dynamic capabilities & Dynamic capability | Dynamic capability & Firm performance | Dynamic capability & digital capabilities | Firm performance & Dynamic capability,0.35
Emerging Concept,agrifood businesses,7,5,2,0.6140000737686341,0.49800694848609806,0.739835862474018,1.0,Performance & SMEs | SMEs & Family firms | SMEs & Innovation | SMEs & digital innovation | SMEs & performance,0.35
Emerging Concept,human capital,7,4,2,0.5699764320183863,0.4771029367595785,0.7023161358478361,1.0,Dynamic capability & Technological innovation | ESG performance & Digital Technology | ESG performance & Firm performance | Technological innovation & Digital Technology,0.35
Conceptual Combination,esg performance x dynamic capabilities,7,5,3,0.5268625022091066,0.4957930945744553,0.5608955410794978,5.714285714285714,Dynamic capabilities & Dynamic capability theory | Dynamic capability theory & ESG performance | ESG performance & Dynamic capability theory | ESG performance & Firm performance,0.35
Cross-Cluster Concept,esg performance,7,5,2,0.4768637560462284,0.4718268834771194,0.478878505073872,2.0,Digitalization & Firm performance | Digitalization & Innovation | Digitalization & Microfoundations | Dynamic capability & Digitalization | Firm performance & Digital transformation (DT),0.35
Emerging Concept,complementary services,6,4,2,0.6815892073794951,0.64081499791323,0.7392204067963112,1.0,Dynamic capabilities & Firm performance | Dynamic capability & Firm performance | Firm performance & Dynamic capability | Industry 4.0 & Firm performance,0.3
Emerging Concept,dt vision,6,5,2,0.677865767436519,0.6456782808715213,0.7,1.0,Digital Technology & Internationalization | Digital capabilities & Dynamic capability | Digital culture & Dynamic capability | Digital transformation (DT) & Dynamic capability | Dynamic capabilities & Dynamic capability | Dynamic capability & digital capabilities,0.3
Conceptual Combination,dynamic capability x organizational capabilities,6,4,3,0.6300165751466603,0.6028374873783552,0.6928374873783552,6.833333333333333,Digitalization & Microfoundations | Dynamic capabilities & Digitalization | Dynamic capability & Digitalization,0.3
Conceptual Combination,dynamic capabilities x firm performance,6,5,2,0.6212730139498378,0.5329003748092194,0.642959333520147,15.0,Dynamic capabilities & SMEs | Dynamic capability & competitive advantage | ESG performance & Firm performance,0.3
Conceptual Combination,dynamic capabilities x esg performance,6,4,2,0.583775508519353,0.5257930945744553,0.6577667154918018,7.333333333333333,Dynamic capability & Dynamic capability theory | ESG performance & Digital Technology | ESG performance & Firm performance | ESG performance & Technological innovation | Firm performance & ESG performance,0.3
Emerging Concept,msmes' performance,5,5,1,0.8352251419881203,0.7783777210300136,0.8978821007605646,1.0,Dynamic capabilities & SMEs,0.25
Emerging Concept,exogenous shock,5,5,1,0.7289731053576068,0.7191105126199784,0.7397620410078496,1.0,Dynamic capabilities & Absorptive capacity | Dynamic capabilities & Dynamic capability | Dynamic capabilities & Firm performance,0.25
Emerging Concept,information system,5,4,2,0.7072341431738407,0.6576901005022231,0.7734606123552717,1.0,Dynamic capabilities & Firm performance | Dynamic capability & Dynamic capability theory | Dynamic capability & competitive advantage | Firm performance & Dynamic capability,0.25
Conceptual Combination,dynamic capabilities x innovation capabilities,5,5,1,0.6966663203089255,0.6966663203089255,0.6966663203089255,18.0,Dynamic capabilities & SMEs,0.25
Conceptual Combination,digital transformation x digital orientation,5,5,1,0.6726320689957396,0.6726320689957396,0.6726320689957396,14.4,Dynamic capabilities & Dynamic capability theory | Dynamic capability theory & ESG performance,0.25
Emerging Concept,organizational resilience,5,4,3,0.6655361352318894,0.6054365682155733,0.7105133172150425,1.0,Digitalization & Firm performance | Digitalization & Innovation | Digitalization & Microfoundations | Organizational resilience & Technology disruption | SMEs & Innovation,0.25
Conceptual Combination,dynamic capabilities x absorptive capacity,5,5,2,0.6643526305801624,0.5732419496517606,0.7232419496517606,9.4,Dynamic capabilities & Absorptive capacity | Dynamic capabilities & Dynamic capability | Dynamic capabilities & Firm performance | Dynamic capability & Dynamic capability theory,0.25
Emerging Concept,steel industry,5,5,2,0.6625715511876885,0.6132029433801874,0.7,1.0,Digitalization & Dynamic capability | Digitalization & Microfoundations | Digitalization & Organizational resilience | Dynamic capability & Digitalization | Industry 4.0 & Digitalization,0.25
Conceptual Combination,dynamic capabilities x digital strategy,5,5,1,0.6482752882424512,0.6482752882424512,0.6482752882424512,18.8,Dynamic capabilities & SMEs,0.25
Emerging Concept,response performance,5,4,2,0.6479576108650027,0.6157476235003627,0.6743764053796955,1.0,Digitalization & Microfoundations | Dynamic capability & Case study | Dynamic managerial capabilities & Innovation | Industry 4.0 & Digitalization | Industry 4.0 & Innovation,0.25
Conceptual Combination,dynamic capabilities x industry 4.0,5,4,2,0.6450113509965237,0.6262274926896223,0.6562274926896223,11.8,Digitalization & Dynamic capability | Digitalization & Microfoundations | Dynamic capabilities & Firm performance | Dynamic capability & Case study,0.25
Conceptual Combination,strategic agility x dynamic capability,5,3,2,0.5935261989267421,0.5457287492448548,0.6653911653813335,6.6,Digitalization & Dynamic capability | Digitalization & Microfoundations | Dynamic capabilities & Digitalization,0.25
Cross-Cluster Concept,msmes' performance,5,5,1,0.593103863589894,0.593103863589894,0.593103863589894,1.0,Dynamic capabilities & Absorptive capacity | Dynamic capabilities & Digitalization | Dynamic capabilities & Dynamic capability | Dynamic capabilities & Dynamic capability theory | Dynamic capability theory & ESG performance,0.25
Conceptual Combination,technology adoption x industry 4.0,5,3,2,0.5798298738670984,0.5107449249136431,0.6258865065027353,6.4,Digitalization & Dynamic capability | Digitalization & Microfoundations | Dynamic capabilities & Digitalization,0.25
Cross-Cluster Concept,dynamic capability,5,5,1,0.5771990224964452,0.5771990224964452,0.5771990224964452,3.0,Digital innovation & family business | Digital maturity & Innovation performance | Dynamic capability theory & ESG performance | ESG performance & Firm performance,0.25
Cross-Cluster Concept,digital leadership,5,5,1,0.5349640967632,0.5349640967632,0.5349640967632,3.0,Dynamic capability theory & ESG performance | Dynamic managerial capabilities & Innovation | Family firms & digital innovation | SMEs & digital innovation,0.25
Conceptual Combination,dynamic capability x industry 4.0,5,3,3,0.5337808822538639,0.4625659040519489,0.6002997008268305,7.6,Digitalization & Dynamic capability | Digitalization & Microfoundations | Dynamic capabilities & Digitalization | Dynamic capabilities & SMEs | Industry 4.0 & Firm performance,0.25
Conceptual Combination,dynamic capability x digital capabilities,5,4,2,0.5326417733895293,0.512013596077845,0.5635840393570557,4.8,Digital culture & Dynamic capability | Digital transformation (DT) & Dynamic capability | Dynamic capability & digital capabilities | Firm performance & Dynamic capability | Industry 4.0 & Firm performance,0.25
Cross-Cluster Concept,competitive advantage,5,5,1,0.5322526393351861,0.5322526393351861,0.5322526393351861,3.0,Dynamic capability theory & ESG performance | Dynamic managerial capabilities & Innovation | Family firms & digital innovation | SMEs & digital innovation,0.25
Cross-Cluster Concept,innovation performance,5,5,1,0.5056461587752659,0.5056461587752659,0.5056461587752659,2.0,Digitalization & Firm performance | Digitalization & Microfoundations | Dynamic capability & competitive advantage | Firm performance & Dynamic capability | SMEs & Digital innovation,0.25
Cross-Cluster Concept,industry 4.0,5,5,1,0.502930982528374,0.502930982528374,0.502930982528374,2.0,Competitive advantage & Dynamic managerial capabilities | Digital maturity & Innovation | Digital maturity & competitive advantage | Dynamic capability & digital capabilities | ESG performance & Firm performance,0.25
Cross-Cluster Concept,technology adoption,5,5,1,0.4810354778524302,0.4810354778524302,0.4810354778524302,2.0,Dynamic capability & SMEs | Dynamic capability & competitive advantage | SMEs & Innovation performance | SMEs & performance,0.25
Cross-Cluster Concept,r&d intensity,5,5,1,0.45586261147144425,0.45586261147144425,0.45586261147144425,1.0,Dynamic capabilities & Digitalization | Dynamic capabilities & SMEs,0.25
Conceptual Combination,digital transformation x innovation performance,4,4,1,0.7221674729978784,0.6096674729978784,0.7596674729978784,18.25,Digital capabilities & Dynamic capabilities | Dynamic capabilities & Dynamic capability | Dynamic capabilities & Firm performance,0.2
Emerging Concept,environmental hostility,4,4,1,0.7181785619157115,0.7145974868179437,0.7259718190087717,1.0,Dynamic capabilities & Dynamic capability | Dynamic capabilities & Firm performance,0.2
Emerging Concept,government policy,4,4,1,0.7033693716431568,0.7030014228867978,0.7037373203995159,1.0,Dynamic capabilities & SMEs,0.2
Emerging Concept,automotive industry,4,4,2,0.6864587367145027,0.6212314073666323,0.7381256078542335,1.0,Digital culture & Dynamic capability | Digitalization & Dynamic capability | Digitalization & Microfoundations | Firm performance & ESG performance,0.2
Emerging Concept,ecosystem orchestration,4,3,3,0.6707115667225605,0.6441388472414864,0.7051608750849165,1.0,Digital transformation (DT) & Dynamic capability | Dynamic capabilities & SMEs | Performance & SMEs | SMEs & performance,0.2
Emerging Concept,social capital,4,3,2,0.6575975583364148,0.5966179153387194,0.6907140974806539,1.0,Digital maturity & Innovation | Digitalization & Firm performance | Dynamic capability & Case study | Industry 4.0 & Innovation,0.2
Emerging Concept,innovation performance,4,3,2,0.6573195869989721,0.5866643197757664,0.7317280013346552,1.0,Digital culture & Digital leadership | Digital maturity & Innovation performance,0.2
Emerging Concept,financial performance,4,4,2,0.617920908083637,0.495348886991107,0.7022775945382194,1.0,Digital Technology & Internationalization | Digitalization & Microfoundations | Dynamic capability & competitive advantage | Enterprise Dynamic Capabilities & “Business Model Innovation”,0.2
Emerging Concept,toe framework,4,4,1,0.6156861016304087,0.6078389146360426,0.628346832529765,1.0,Dynamic capabilities & Dynamic capability theory | Dynamic capability theory & ESG performance,0.2
Emerging Concept,absorptive capacity,4,3,2,0.5951781469654753,0.55,0.6564170970319915,1.0,Absorptive capacity & Differentiation strategy | Digital Technology & Internationalization | Digital culture & Digital leadership | Digital maturity & competitive advantage,0.2
Emerging Concept,green innovation,4,3,2,0.5221691935739964,0.5057145592795859,0.5276540716721332,1.0,Dynamic capability theory & ESG performance,0.2
Conceptual Combination,dynamic capabilities x digital orientation,4,4,1,0.5137713893798344,0.4912713893798344,0.5512713893798344,4.75,Dynamic capabilities & Dynamic capability theory | Dynamic capability theory & ESG performance,0.2
Conceptual Combination,firm performance x dynamic capability,4,4,4,0.4761025076432965,0.43009029462412807,0.5821162642050741,5.25,Digitalization & Firm performance | Digitalization & Microfoundations | Firm performance & Dynamic capabilities,0.2
Conceptual Combination,dynamic capabilities x organisational agility,3,3,1,0.6987795885466724,0.6987795885466725,0.6987795885466725,12.666666666666666,Dynamic capabilities & Dynamic capability | Dynamic capabilities & Firm performance,0.15
Emerging Concept,leadership cognition,3,3,1,0.6981184291723131,0.6958026292516013,0.7,1.0,SMEs & Innovation performance | SMEs & SME | SMEs & performance,0.15
Emerging Concept,hong kong,3,3,1,0.666385121600993,0.6633245997681876,0.6706982458425521,1.0,Dynamic capabilities & Digitalization | Dynamic capabilities & Dynamic capability | Dynamic capabilities & Firm performance,0.15
Emerging Concept,it alignment,3,3,1,0.654174460097376,0.6372507691791783,0.6750078998869534,1.0,Competitive advantage & Dynamic managerial capabilities | Digital capabilities & Dynamic capability | Digital transformation (DT) & Dynamic capability,0.15
Emerging Concept,firm performance,3,3,2,0.6329189879363203,0.5490695955004433,0.7,1.0,Competitive advantage & Dynamic managerial capabilities | Digital transformation (DT) & mixed method | ESG performance & Digital Technology,0.15
Emerging Concept,differentiation strategy,3,2,2,0.6166666666666666,0.44999999999999996,0.7,1.0,Absorptive capacity & Differentiation strategy | Digital Technology & Internationalization | Digital culture & Digital leadership,0.15
Conceptual Combination,dynamic capabilities x green innovation,3,3,1,0.5698833842321425,0.5198833842321424,0.6098833842321425,8.666666666666666,ESG performance & Firm performance | ESG performance & Technological innovation | Firm performance & ESG performance,0.15
Emerging Concept,turbulent environments,3,3,2,0.5672483362171308,0.5228683471679921,0.6260003505778906,1.0,Dynamic capabilities & family business | Family business & Family firms | SMEs & Innovation,0.15
Emerging Concept,design thinking,3,2,2,0.5632022982865442,0.4700068489656033,0.6234091154947308,1.0,Digitalization & Microfoundations,0.15
Conceptual Combination,innovation performance x organizational agility,3,3,1,0.5342886401381829,0.5342886401381829,0.5342886401381829,4.0,SMEs & Innovation performance | SMEs & performance,0.15
Emerging Concept,change management,3,3,1,0.5185278644085167,0.3,0.635109314879232,1.0,Digital transformation (DT) & mixed method | Digitalization & Innovation | Firm performance & Digital transformation (DT),0.15
Emerging Concept,operational efficiency,3,2,2,0.48446696590636645,0.4844669659063664,0.4844669659063664,1.0,ESG performance & Firm performance,0.15
Conceptual Combination,dynamic capability x technological innovation,3,3,2,0.4843258839188107,0.4606650845460628,0.5316474826643065,5.0,Dynamic capabilities & Dynamic capability | Dynamic capability & Technological innovation,0.15
Conceptual Combination,innovation performance x it capabilities,3,3,1,0.44963481514617687,0.44963481514617687,0.44963481514617687,4.0,SMEs & Innovation performance | SMEs & performance,0.15
Cross-Cluster Concept,human–ai interaction,3,3,1,0.4414146405275592,0.4414146405275592,0.4414146405275592,1.0,Digitalization & Dynamic capability | Digitalization & Firm performance | Digitalization & Microfoundations,0.15
Emerging Concept,esg performance,3,2,2,0.3922720128007107,0.3,0.5768160384021322,1.0,Dynamic capability theory & ESG performance | Technological innovation & Digital Technology,0.15
Emerging Concept,competitive advantage,2,2,1,0.7040473608030386,0.6710428820857623,0.737051839520315,1.0,Digitalization & Firm performance | Digitalization & Innovation,0.1
Emerging Concept,environmental performance,2,2,1,0.6978398232528431,0.6956796465056864,0.7,1.0,Dynamic capability & SMEs | SMEs & Innovation performance,0.1
Emerging Concept,managerial cognition,2,2,1,0.6891540280514511,0.6776655687468269,0.7006424873560753,1.0,Digital maturity & Innovation | Dynamic managerial capabilities & Innovation,0.1
Emerging Concept,export performance,2,2,2,0.6865045112922237,0.6730090225844473,0.7,1.0,Dynamic capability & competitive advantage | Firm performance & Dynamic capabilities,0.1
Emerging Concept,digital culture,2,2,1,0.647564784038045,0.647564784038045,0.647564784038045,1.0,Digital culture & Digital leadership,0.1
Emerging Concept,digital barriers,2,2,2,0.6472891564714689,0.5945783129429378,0.7,1.0,Case study & Dynamic capability | SMEs & Innovation performance,0.1
Conceptual Combination,digital transformation x it capabilities,2,2,1,0.6425693569070086,0.5675693569070086,0.7175693569070085,8.5,Digital capabilities & Dynamic capabilities | Dynamic capabilities & Dynamic capability,0.1
Emerging Concept,intellectual capital,2,2,1,0.633694486213108,0.6127247195536276,0.6546642528725883,1.0,Digitalization & Firm performance | Digitalization & Microfoundations,0.1
Emerging Concept,strategic planning,2,2,2,0.6286970057197975,0.5846874032821121,0.6727066081574828,1.0,Dynamic capability & Technological innovation | Dynamic capability & digital capabilities,0.1
Emerging Concept,msmes performance,2,2,1,0.6265665263992938,0.5763359714626586,0.676797081335929,1.0,SMEs & Digital innovation | SMEs & SME,0.1
Emerging Concept,ecosystem strategy,2,2,1,0.6220026335988897,0.6010703030006448,0.6429349641971348,1.0,Digitalization & Innovation | Digitalization & Organizational resilience,0.1
Emerging Concept,organizational growth,2,2,1,0.6205632738118326,0.6028352382661233,0.638291309357542,1.0,Dynamic capability & SMEs | SMEs & Innovation performance,0.1
Emerging Concept,strategic renewal,2,2,2,0.5939317355578435,0.5589720983936683,0.6288913727220187,1.0,Digitalization & Firm performance | Digitalization & Microfoundations,0.1
Conceptual Combination,firm performance x competitive advantage,2,2,1,0.5927212730289253,0.5627212730289254,0.6227212730289253,6.0,Digitalization & Firm performance | Firm performance & Dynamic capability,0.1
Emerging Concept,relational embeddedness,2,2,1,0.5802053683127393,0.575498968609057,0.5849117680164215,1.0,Dynamic capabilities & Absorptive capacity | Dynamic capabilities & Dynamic capability,0.1
Conceptual Combination,competitive advantage x firm performance,2,2,2,0.5765371508593207,0.5327212730289254,0.6203530286897161,5.5,Dynamic capabilities & Firm performance | Dynamic capability & competitive advantage,0.1
Emerging Concept,process digitization,2,2,1,0.5614216262674165,0.5426845138062532,0.5801587387285798,1.0,Dynamic capability & digital capabilities | Performance & SMEs,0.1
Conceptual Combination,firm performance x manufacturing firms,2,2,2,0.5562125141120577,0.5431265700476409,0.5692984581764747,5.5,Dynamic capabilities & Firm performance | Firm performance & ESG performance,0.1
Conceptual Combination,dynamic capability x competitive advantage,2,2,2,0.5554437064007154,0.5482381038391717,0.5626493089622591,6.5,Dynamic capabilities & SMEs | Dynamic capability & Digitalization,0.1
Conceptual Combination,firm performance x absorptive capacity,2,2,1,0.5552323807600852,0.5402323807600853,0.5702323807600852,7.5,Dynamic capabilities & Dynamic capability | Dynamic capabilities & Firm performance,0.1
Conceptual Combination,digital leadership x industry 4.0,2,2,2,0.4902999150208839,0.4793071399857885,0.5012926900559793,4.5,Digitalization & Microfoundations | Dynamic capabilities & Digitalization,0.1
Conceptual Combination,digital culture x innovation performance,2,2,1,0.4182204625202567,0.4182204625202567,0.4182204625202567,4.0,SMEs & performance,0.1
Emerging Concept,collaborative innovation,2,2,2,0.3399496126245331,0.3399496126245331,0.3399496126245331,1.0,Digital maturity & Innovation performance,0.1
Emerging Concept,african banking,1,1,1,0.7131218364140282,0.7131218364140282,0.7131218364140282,1.0,Dynamic capabilities & Digitalization,0.05
Emerging Concept,organisational unlearning,1,1,1,0.7117580713908527,0.7117580713908527,0.7117580713908527,1.0,Firm performance & Dynamic capabilities,0.05
Emerging Concept,scarce resources,1,1,1,0.7046287173631134,0.7046287173631134,0.7046287173631134,1.0,Dynamic capabilities & SMEs,0.05
Conceptual Combination,digital transformation x dynamic capability,1,1,1,0.7021075655896537,0.7021075655896537,0.7021075655896537,14.0,Firm performance & Dynamic capabilities,0.05
Emerging Concept,digital leadership,1,1,1,0.7,0.7,0.7,1.0,Digital innovation management & Microfoundations,0.05
Emerging Concept,government intervention,1,1,1,0.6981274131789322,0.6981274131789322,0.6981274131789322,1.0,Dynamic capability & Firm performance,0.05
Emerging Concept,firm type,1,1,1,0.6903512014564466,0.6903512014564466,0.6903512014564466,1.0,Dynamic capability & Firm performance,0.05
Emerging Concept,industry 4.0,1,1,1,0.6758670448752607,0.6758670448752607,0.6758670448752607,1.0,Digital culture & Dynamic capability,0.05
Conceptual Combination,digital transformation x digital strategy,1,1,1,0.67114149288217,0.67114149288217,0.67114149288217,26.0,Dynamic capabilities & SMEs,0.05
Emerging Concept,organisational remodelling,1,1,1,0.647752759308628,0.647752759308628,0.647752759308628,1.0,Digital Technology & Internationalization,0.05
Emerging Concept,influence factors,1,1,1,0.639358851474142,0.639358851474142,0.639358851474142,1.0,Dynamic capabilities & Digitalization,0.05
Emerging Concept,information governance,1,1,1,0.6359437132797267,0.6359437132797267,0.6359437132797267,1.0,Dynamic capabilities & Digitalization,0.05
Emerging Concept,team learning,1,1,1,0.6326861933504733,0.6326861933504733,0.6326861933504733,1.0,SMEs & Innovation performance,0.05
Conceptual Combination,digital capabilities x industry 4.0,1,1,1,0.6238739526030851,0.6238739526030851,0.6238739526030851,8.0,Industry 4.0 & Firm performance,0.05
Conceptual Combination,digital transformation x absorptive capacity,1,1,1,0.6220811231188984,0.6220811231188984,0.6220811231188984,19.0,Dynamic capability & Dynamic capability theory,0.05
Emerging Concept,network capability,1,1,1,0.6219809906786378,0.6219809906786378,0.6219809906786378,1.0,Dynamic capability theory & ESG performance,0.05
Emerging Concept,entrepreneurial persistence,1,1,1,0.6192173873562257,0.6192173873562257,0.6192173873562257,1.0,Dynamic capabilities & SMEs,0.05
Emerging Concept,multimedia mindset,1,1,1,0.6096330547530724,0.6096330547530724,0.6096330547530724,1.0,Digital platforms & Autonomous growth group,0.05
Emerging Concept,information technology,1,1,1,0.6075110294922499,0.6075110294922499,0.6075110294922499,1.0,Digital capabilities & Dynamic capabilities,0.05
Emerging Concept,market turbulence,1,1,1,0.6039883801449213,0.6039883801449213,0.6039883801449213,1.0,Dynamic capabilities & Dynamic capability theory,0.05
Emerging Concept,socio-technical adaptability,1,1,1,0.6016646805682517,0.6016646805682517,0.6016646805682517,1.0,Digitalization & Innovation,0.05
Emerging Concept,explorative innovation,1,1,1,0.591080326989592,0.591080326989592,0.591080326989592,1.0,Digitalization & Innovation,0.05
Emerging Concept,emerging technologies,1,1,1,0.5900201649043297,0.5900201649043297,0.5900201649043297,1.0,Firm performance & Digital transformation (DT),0.05
